"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-01","2019","01","01","†","","M","","M","","M","","M","","M","3.2","","0.0","","3.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-02","2019","01","02","†","","M","","M","","M","","M","","M","36.0","","0.0","","36.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-03","2019","01","03","†","","M","","M","","M","","M","","M","29.6","","0.0","","29.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-04","2019","01","04","†","","M","","M","","M","","M","","M","3.2","","0.0","","3.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-05","2019","01","05","†","","M","","M","","M","","M","","M","18.0","","0.0","","18.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-06","2019","01","06","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-07","2019","01","07","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-08","2019","01","08","†","","M","","M","","M","","M","","M","9.4","","7.4","","16.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-09","2019","01","09","†","","M","","M","","M","","M","","M","37.4","","0.0","","37.4","","6","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-10","2019","01","10","†","","M","","M","","M","","M","","M","1.4","","0.0","","1.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-11","2019","01","11","†","","M","","M","","M","","M","","M","0.2","","0.0","","0.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-12","2019","01","12","†","","M","","M","","M","","M","","M","1.2","","0.0","","1.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-13","2019","01","13","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-14","2019","01","14","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-15","2019","01","15","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-16","2019","01","16","†","","M","","M","","M","","M","","M","5.6","","0.0","","5.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-17","2019","01","17","†","","M","","M","","M","","M","","M","16.0","","0.0","","16.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-18","2019","01","18","†","","M","","M","","M","","M","","M","16.2","","0.0","","16.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-19","2019","01","19","†","","M","","M","","M","","M","","M","2.2","","0.0","","2.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-20","2019","01","20","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-21","2019","01","21","†","","M","","M","","M","","M","","M","2.2","","0.0","","2.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-22","2019","01","22","†","","M","","M","","M","","M","","M","37.6","","0.0","","37.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-23","2019","01","23","†","","M","","M","","M","","M","","M","1.0","","0.0","","1.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-24","2019","01","24","†","","M","","M","","M","","M","","M","3.2","","0.0","","3.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-25","2019","01","25","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-26","2019","01","26","†","","M","","M","","M","","M","","M","0.0","T","0.0","","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-27","2019","01","27","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-28","2019","01","28","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-29","2019","01","29","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-30","2019","01","30","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-01-31","2019","01","31","†","","M","","M","","M","","M","","M","3.4","","0.0","","3.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-01","2019","02","01","†","","M","","M","","M","","M","","M","5.2","","0.0","","5.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-02","2019","02","02","†","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-03","2019","02","03","†","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-04","2019","02","04","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-05","2019","02","05","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-06","2019","02","06","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-07","2019","02","07","†","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-08","2019","02","08","†","","M","","M","","M","","M","","M","2.2","","0.0","","2.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-09","2019","02","09","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-10","2019","02","10","†","","M","","M","","M","","M","","M","0.0","","9.0","","9.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-11","2019","02","11","†","","M","","M","","M","","M","","M","0.0","","6.0","","6.0","","9","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-12","2019","02","12","†","","M","","M","","M","","M","","M","0.0","","6.0","","6.0","","15","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2019-02-13","2019","02","13","†","","M","","M","","M","","M","","M","0.0","","0.4","","0.4","","18","","","","",""
